Show Name,Winners Names,Season,Age,Occupation
Bachelor,Kaity Biggar,27,27,A nurse
,Rebecca Kufrin,22,27,A publicist
,Vanessa Grimaldi,21,29,Special Education Teacher
,Lauren Bushnell,20,25,A flight attendant
,Whitney Bischoff,19,29,A fertility nurse
,Nikki Ferrell,18,26,A pediatric nurse
,Catherine Giudici,17,26,A graphic designer
,Courtney Robertson,16,28,A model
,Emily Maynard Johnson,15,24,A business owner and event planner
,Vienna Girardi,14,23,A reality TV star and student
,Melissa Rycroft,13,25,A dance teacher and part-time cheerleader
,Tessa Horst,10,26,A marketing director
,Jennifer Wilson,9,28,A recruitment consultant
,Sarah Stone,8,25,A teacher
,Sarah Brice,7,25,A student
,Mary Delgado,6,30,A bank executive
,Jessica Bowlin,5,24,A sales representative
,Estella Gardinier,4,24,A marketing manager
,Jen Schefft,3,27,Public relations executive
,Helene Eksterowicz,2,25,A communications manager
,Amanda Marsh,1,23,A flight attendant
,,,,
Bachelor in Paradise,Marcus Grodd & Lacy Faddoul,1,28 & 25, Medical sales representative & Massage therapist
